qid,question,answer_id,video_id,a0,a1,a2,a3,start,end,id
6,How many lemon pieces are there?,0,668NBDl9gVM_120_180,1,2,3,4,121,125,668NBDl9gVM
10,what is the name of the place,0,zW7FOSeV530_0_60,Mary's greenhouse,peters,Paul's,Charlie's,24,41,zW7FOSeV530
19,How many bowls are on the table that she's working at?,0,kocA0--bcvc_0_60,7,6,9,5,3,7,kocA0--bcvc
21,What company is responsible for this clip?,0,7tBHUmxNqVg_120_180,Anna's Flowers,Picking's Florist,Freytag's Flowery,Walmart,159,180,7tBHUmxNqVg
34,What makes this spicy?,0,NOuQuofjk44_180_240,hard pepper,chili,ginger,garlic,188,239,NOuQuofjk44
46,What color are the scissor handles ?,0,JnWx0SZ7Pw0_60_120,White,It's a wooden spoon.,Black,Blue,62,66,JnWx0SZ7Pw0
47,what is the color of the dress the lady is wearing?,0,p6rcHJBO0AI_120_180,the color red,the color brown,the color blue,the color purple,120,131,p6rcHJBO0AI
48,what is the color of his shirt,0,Lj2asVY2SCI_180_240,blue,red,orange,black,207,226,Lj2asVY2SCI
52,What is the presenter's favorite poinsettia?,0,kZIsTMzhoZo_0_60,The infinity poinsettia,The Christmas poinsettia,The Easter poinsettia,The icicle poinsettia,0,54,kZIsTMzhoZo
54,Where is Leonard Perry working?,0,TFshe3RoMTc_0_60,University of Vermont Extention,In the hospital,In Nursery,In the garden,12,26,TFshe3RoMTc
57,what is the color of leaves?,0,TFshe3RoMTc_60_120,pink,Green,orange,black,64,71,TFshe3RoMTc
60,What do you think is most likely the name of this speaker's video channel?,0,DUEyiEnMVj4_0_60,"his channel is called ""whatsdev""","his channel is called ""professional graphix""","his channel is called ""digitaldezignz","his channel is called ""graphics co.""",12,13,DUEyiEnMVj4
64,How many diamond shapes are there ?,0,F_A9dp-SQ-s_0_60,Thirteen to fifteen,Six,Zero,Two,4,9,F_A9dp-SQ-s
86,what is the color of plate?,0,BVlGoJOCH94_60_120,green,pink,yellow,black,64,72,BVlGoJOCH94
87,what is the man wearing on his head?,0,mgRG0lIQCm0_120_180,cowboy hat,a bandana,a beanie,a hood,120,124,mgRG0lIQCm0
92,What kind of flower is featured in this clip?,0,IVoOzXzOa9c_180_240,Orange Spice,Yellow Tulips,Sunflowers,Blue Violets,223,237,IVoOzXzOa9c
94,How many optional ingredients are displayed in the clip?,0,BVlGoJOCH94_120_180,two ingredients,one ingredient,six ingredients,seven ingredients,164,180,BVlGoJOCH94
96,What color is the sugar clip ?,0,sMNiYqB-6j8_180_240,Green,Red,Black,White,187,193,sMNiYqB-6j8
105,What kind of flowers are grown in this greenhouse?,0,ArEU1IOEC0E_60_120,poinsettia,tulips,roses,carnations,60,66,ArEU1IOEC0E
109,What is the name of the guide in this clip?,0,QBWAZrWUz68_0_60,Hallelujah Gardening Guide,Faithful Gardening Tips,Powerful Outdoor Advice,Uplifting Living Guide,11,22,QBWAZrWUz68
111,which equipment is the person using to mix ?,0,uCSrCgHogq8_60_120,spoon,fork,spatula,knife,60,65,uCSrCgHogq8
112,What does the Lego worker toy do?,0,XvHSlHhh1gk_0_60,Hearing music and walking,Fighting,Crying,Running,17,34,XvHSlHhh1gk
114,what is the color of the gift wrap?,0,QBWAZrWUz68_60_120,green,white,blue,yellow,94,98,QBWAZrWUz68
117,How many LED lights are there?,0,xtq3wSiy1iw_0_60,5,6,7,2,53,59,xtq3wSiy1iw
118,what is the color of santa cap,0,G2X6Fre5u9s_0_60,red,blue,green,black,25,37,G2X6Fre5u9s
135,How many times were items put into the clay pot ?,0,ZCvwmQPIQCo_120_180,Eight to Ten,Five to Seven,Two to Three,Four,158,181,ZCvwmQPIQCo
143,How many containers are visible in this clip?,0,ZCvwmQPIQCo_180_240,two,one,three,none,227,241,ZCvwmQPIQCo
148,How may covered plants in the video?,0,jA-g2mklWQ4_0_60,2 plants,3 plants,4 plants,No plants,7,26,jA-g2mklWQ4
157,Which code is written in line 2?,0,ceOWIrL5yLw_180_240,<html>,<body>,<end now>,<if>,180,185,ceOWIrL5yLw
159,How many knief are used in this video?,0,iqtCKybcSL8_120_180,Two,One,Six,Five,150,169,iqtCKybcSL8
171,Why is the woman holding a cutting board?,0,w5iRaOAuAEo_60_120,to pour ingredients into a bowl,to organize the kitchen counter,the woman is not holding a cutting board,to rinse the cutting board,109,122,w5iRaOAuAEo
192,What is the Poinsettia called?,0,h24QJXxEDys_120_180,Winter Rose,Luv u pink,Rose,Pink,178,182,h24QJXxEDys
195,How many drinks are on the table?,0,aHizjPRmdSI_120_180,5,7,10,9,154,165,aHizjPRmdSI
206,What is the color of machine?,0,jRNhRPmyBc0_0_60,Yellow,Pink,White,Red,39,50,jRNhRPmyBc0
208,How to water the plant,0,UxnyTo1NkEU_120_180,No need regular intervals,regular interval,Monthly,Weekly,120,143,UxnyTo1NkEU
233,What does the person stir the food with.,0,xbYZ-IwrE4g_60_120,A fork.,A spoon.,A spatula.,A whisk.,98,108,xbYZ-IwrE4g
239,How many member are there?,0,6He1T1TsHu8_120_180,74,5,3,1,125,135,6He1T1TsHu8
240,howmany plants are there?,0,63o8lbQGFgg_60_120,1,10,2,6,64,72,63o8lbQGFgg
241,What is the color of the foil?,0,6He1T1TsHu8_180_240,Silver,Brown,Grey,Green,206,221,6He1T1TsHu8
243,How to trigger the green color to red color?,0,63o8lbQGFgg_120_180,Put the plant in the Sunlight,Using more water,Lock the plant in a room,Pinch the leaves,133,150,63o8lbQGFgg
267,What production name is mentioned in this video?,0,G2X6Fre5u9s_180_240,My froggy stuff production,my stuff production,my production,froggy production,216,225,G2X6Fre5u9s
268,How many members are there?,0,YSlfSEuIlDE_180_240,4,6,8,2,185,198,YSlfSEuIlDE
285,white is the color of the plant,0,J38CIkRLpB8_120_180,green and red,blue and white,Orange and green,Pink and white,148,160,J38CIkRLpB8
287,What is the color of his T Shirt?,0,ypFFypxV11U_0_60,Grey,Black,blue,Red,18,30,ypFFypxV11U
295,How many blue-petal flowers are there ?,0,gEAypCpjbj0_0_60,Fourteen,Thirteen,Fifteen,Zero,0,6,gEAypCpjbj0
300,How many ingredients are added to the pot in the clip?,0,ypFFypxV11U_120_180,one ingredient,five ingredients,ten ingredients,no additional ingredients are added,133,140,ypFFypxV11U
301,What was the color of the watch she is wearing?,0,gEAypCpjbj0_60_120,Golden color,Black color,White color,Grey color,62,100,gEAypCpjbj0
302,Which leaf in the middle of the dish?,0,873g2WRO7J0_120_180,Mint leaf,Coriander leaf,Holy Basil,Curry leaf,135,149,873g2WRO7J0
312,How many dials are on the left cooker?,0,dA0dkByTOpY_120_180,6,3,9,2,143,151,dA0dkByTOpY
334,What is the brand name of the machine?,0,hpFnZmPsHVo_180_240,Singer,Bernina,Jaguar,Juki,225,238,hpFnZmPsHVo
335,What is the color of the mouse near the laptop?,0,LHf2qYG7JMI_60_120,white,black,blue,green,100,114,LHf2qYG7JMI
336,what is the color of her t-shirt?,0,hJrYxD4fJ6o_60_120,Violet,Red,Black,Orange,66,82,hJrYxD4fJ6o
345,How many rings is the woman wearing ?,0,OOHxGt4puaY_120_180,None of these.,Two,Three,Zero,144,150,OOHxGt4puaY
366,what else does the streamer  put beside grated mango?,0,G92cmRWh7TE_0_60,salt,corainder,sugar,oil,50,60,G92cmRWh7TE
369,how many vegetable used to make a salad?,0,G92cmRWh7TE_60_120,four vegetables added to made the salad,cucumber was finally added,onion was essential for the salad and so added first,comparatively garbage more quantity used in the salad,64,104,G92cmRWh7TE
373,How many members are there?,0,YDV3aiqTXRQ_0_60,1,2,3,4,29,41,YDV3aiqTXRQ
383,Who is featured in this clip?,0,YDV3aiqTXRQ_60_120,David Cooley,Jonathan Wisher,Wiley Coyote,Arnelle Donathan,71,81,YDV3aiqTXRQ
385,What is the name of the host of the program Better Homes and Gardens?,0,yE8WDWOv7x4_0_60,Stephen Orr,Michael Wlliams,John Murray,Jeff Green,30,60,yE8WDWOv7x4
386,"Who ""salutes men who made a difference in the 20th century?""",0,YDV3aiqTXRQ_120_180,The Abbey,The Alley,The Alehouse,The Asbury,147,156,YDV3aiqTXRQ
399,what is the color his shirt?,0,HkRh-QIvkpw_0_60,black,green,yellow,red,27,37,HkRh-QIvkpw
401,What was added immediately after the chopped mangoes?,0,SN6XaZisipw_180_240,Chopped tomatoes.,Diced onions.,Minced garlic.,Chopped Peppers.,218,224,SN6XaZisipw
403,How many cloths are shown in this video?,0,R857zgkpHOg_60_120,Nine,Two,Three,Four,60,72,R857zgkpHOg
405,what is the name of color?,0,HkRh-QIvkpw_60_120,pink,black,blue,red,66,79,HkRh-QIvkpw
406,What does the person crack over bowl?,0,3X1zee9F7Wg_60_120,brown egg,white egg,ground pepper,cake mix,99,103,3X1zee9F7Wg
412,What does the person use to stir bowl 13 seconds in video?,0,3X1zee9F7Wg_120_180,wooden spoon,metal whisk,plastic fork,plastic spoon,132,138,3X1zee9F7Wg
417,What color is the man's apron in this scene?,0,x5RbvFtlZ1M_0_60,green,red,white,black,32,60,x5RbvFtlZ1M
419,What is the color of the fridge?,0,3X1zee9F7Wg_180_240,Blue,Green,White,Yellow,180,193,3X1zee9F7Wg
424,Which herb did the lady use ?,0,7r8s4izoqLU_180_240,Thyme.,Basil,Mint,Coriander.,180,191,7r8s4izoqLU
431,what is the color of her t-shirt?,0,Brbu8o-irlU_0_60,Blue,Red,Orange,White,16,30,Brbu8o-irlU
439,what plant is mentioned in this video?,0,DA8YEUFUALE_120_180,Robyn,Lobelia,Coneflower,Wintergreen,146,161,DA8YEUFUALE
444,"Is the man holding anything in his left hand? If yes, what is it?",0,DA8YEUFUALE_180_240,"yes, paper",ring,Nothing,twig,180,187,DA8YEUFUALE
445,Which part of the toy pony did the speaker started to paint first?,0,CtQHzcuzbnw_0_60,the toy's front leg,the toy's hind leg,the toy's ears,the toy's tail,54,60,CtQHzcuzbnw
449,What is the color of the label on the first bottle?,0,CNj0SfeqiW8_60_120,It is a green label,It is a red Label,It is a purple label,It is a yellow label,60,76,CNj0SfeqiW8
457,What is the colour of knife in man's hand?,0,FSumgf7mUC4_60_120,Blue,Yellow,Red,Black,67,83,FSumgf7mUC4
465,What is the color of nilpolis?,0,CtQHzcuzbnw_120_180,Rose,White,Black,Red,152,166,CtQHzcuzbnw
472,what is the color of the item around the woman's neck?,0,DWE1ZL0TaiE_60_120,it is red,it is green,it is blue,it is purple,60,65,DWE1ZL0TaiE
476,Where does the blonde woman place the salt once she is done with it?,0,DWE1ZL0TaiE_120_180,By the olive oil.,By the mixer in the background.,By the sink.,She doesn't move it.,177,181,DWE1ZL0TaiE
477,what is the episode number?,0,C4aO6qIbzps_0_60,27,22,20,10,12,25,C4aO6qIbzps
490,What is the color of the tool used in this video?,0,L8iwWA-VeXE_60_120,yellow,Red,White,Pink,60,72,L8iwWA-VeXE
501,Did the man hold anything in his right hand?,0,f_hFV792kkU_60_120,No,Yes,Balloon,paper,64,76,f_hFV792kkU
505,Why did the man use a spatula?,0,pbUJXZICPzg_120_180,to place food on plates,to flip the food over,to continuously stir the food,to taste the food,155,164,pbUJXZICPzg
507,What is the highest number of the square template on top of the fabric?,0,L8iwWA-VeXE_180_240,17,7,8,21,210,214,L8iwWA-VeXE
517,How many yellow flowers are there ?,0,pgKBNjiZtNo_0_60,Zero,One,Fifteen,Nineteen,18,24,pgKBNjiZtNo
521,What is being used to stir the ingredients?,0,Cfpg0Ie8MfE_120_180,wooden spoon,metal fork,plastic spatula,a whisk,120,125,Cfpg0Ie8MfE
526,What color are the utensils ?,0,29nmT9gb5iM_60_120,Black,Silver,They are Popsicle craft sticks.,White,110,117,29nmT9gb5iM
533,How Many Pots Are There?,0,pgKBNjiZtNo_60_120,5,6,8,3,61,71,pgKBNjiZtNo
536,How many bones are there ?,0,i4X1wf6o3VA_60_120,Eight,Two hundred Six,Two,Four,71,76,i4X1wf6o3VA
551,What color is the spatula used for mixing the ingredients?,0,DM7fHvxc1G4_180_240,green,blue,red,white,180,186,DM7fHvxc1G4
569,What is the color of the background of this video?,0,09UHqc313Us_120_180,Black,Red,White,Green,120,160,09UHqc313Us
574,Which product was holding in women's hand?,0,29nmT9gb5iM_120_180,Borax,Sodium,Calcium,Nitrate,127,145,29nmT9gb5iM
582,How many rolling pins are sitting on the countertop in this clip?,0,TYUFfuc7Lt4_0_60,four rolling pins,three rolling pins,two rolling pins,no rolling pins,28,37,TYUFfuc7Lt4
585,what is the color of the square item in front of the person?,0,kbg0xxI4iA4_120_180,it is gray,it is blue,it is green,it is white,120,126,kbg0xxI4iA4
587,How many dog are there?,0,u9ip70QuDP8_60_120,3,2,5,6,62,78,u9ip70QuDP8
589,How Many Kids are there?,0,N8HgvyWatA0_120_180,1,2,3,4,123,134,N8HgvyWatA0
606,what color are the leaves on the plant next to the man?,0,Usjszatg4QY_120_180,they are red,they are blue,they are green,they are orange,120,125,Usjszatg4QY
609,How many people are in the scene?,0,XIwv2xwa2uY_0_60,3,2,1,4,18,23,XIwv2xwa2uY
613,what is the color of leaf,0,Usjszatg4QY_180_240,Red,blue,green,Yellow,207,226,Usjszatg4QY
622,How many prawns he put into tha pan?,0,M-4Ts_QtQok_120_180,6,3,5,9,130,144,M-4Ts_QtQok
626,how many cups of cold water is poured?,0,29nmT9gb5iM_180_240,2-Jan,1,2,6,184,194,29nmT9gb5iM
638,how many eggs are there?,0,cepJ7MpKKSw_60_120,4,4 cups5,3,306,84,91,cepJ7MpKKSw
641,Beside red and pink what is the third color of poinsettia shown above?,0,5p0xbb9murI_0_60,Yellow Green,Sky Blue,Red Orange,Dark Blue,50,60,5p0xbb9murI
642,What is the name of this flower?,0,s0nVJaVHiag_180_240,Bulbine frutescens,Yellow Bulbinella,Bulbine abyssinica,Bulbine asparagales,180,192,s0nVJaVHiag
644,What is the color of the t-shirt,0,cepJ7MpKKSw_120_180,green,red,Orange,blue,142,161,cepJ7MpKKSw
647,What is the color of the soil in this clip?,0,cdaM9T7I5h0_0_60,black,yellow,green,light brown,29,41,cdaM9T7I5h0
651,What color show's the table cloth?,0,3wk_uCkwny8_120_180,Blue,Black,White,Red,144,181,3wk_uCkwny8
655,What is the color of plant leaves?,0,5p0xbb9murI_180_240,Red,Black,White,Pink,191,202,5p0xbb9murI
657,What is the color of her T Shirt?,0,3wk_uCkwny8_180_240,Red,White,Orange,Blue,208,226,3wk_uCkwny8
658,what is the color of knife?,0,Qgma8bSM93E_0_60,black,red,white,pink,9,31,Qgma8bSM93E
659,How many pieces in the pan?,0,TFQ4dGZcc-g_60_120,4,2,6,8,61,69,TFQ4dGZcc-g
661,What is the color of his T Shirt?,0,F2V6i7CKJYc_0_60,Green,Yellow,Red,Blue,47,55,F2V6i7CKJYc
665,What is the brand name of Salt?,0,F2V6i7CKJYc_60_120,KIRKLAND,Aqua Salts,Reds Salt,ORGNX Salt,104,116,F2V6i7CKJYc
669,what is the color of the lady's sweater?,0,OOZqOuBPIqs_60_120,it is green,it is gray,it is blue,it is white,60,65,OOZqOuBPIqs
677,What particular food does the press makes when you put the mixture inside?,0,F2V6i7CKJYc_180_240,Tortilla,Burger Buns,Hot dog buns,Fries,231,239,F2V6i7CKJYc
685,what color is the oven behind the lady?,0,RAb8zOoibjw_0_60,it is black,it is green,it is red,it is orange,2,10,RAb8zOoibjw
696,how many eggs are added to the recipe?,0,zLvz9gTOuc0_180_240,one egg,two eggs,a dozen eggs,no eggs are visible,184,195,zLvz9gTOuc0
698,what is the color of leaves?,0,G0nGeYUHSV4_180_240,pink,red,white,black,183,191,G0nGeYUHSV4
708,What does he do to the food at the end?,0,W_UqjdGtpeQ_60_120,Begins rolling,Begins cutting,Begins filing,Begins aerating,116,122,W_UqjdGtpeQ
709,How many arrow marks are shown in this video?,0,Z-8060HH6K0_120_180,Three,Ten,Nine,One,120,132,Z-8060HH6K0
710,What size wonton wrappers does the lady use?,0,TQpuiGdCdWo_120_180,Large Square,Half Size,Small Triangle,Large Circle,142,148,TQpuiGdCdWo
714,What is the channel name?,0,zBXbdW9CvE8_0_60,royal tv,loyal tv,live tv,news tv,0,8,zBXbdW9CvE8
721,What is the chef name displayed?,0,ua_Lv9eZ_r4_0_60,Chaz Anderson,Andrew Daviz,David Kang,Michael Friz,15,60,ua_Lv9eZ_r4
726,How Many Pots Are There?,0,n8ZxUxNBBCQ_60_120,4,2,3,5,62,84,n8ZxUxNBBCQ
734,who is the hero on the man's shirt?,0,sUfmdE1BDig_120_180,The Flash,Superman,Spiderman,Wonder Woman,120,127,sUfmdE1BDig
742,What is the brand name of the tool?,0,uzrAu5WurN8_60_120,Scotch,Snap,DeWalt,Lenox,78,93,uzrAu5WurN8
748,What item of clothing is she dealing with?,0,BLtEnymAvdY_60_120,T-shirt,Doveneck,Shirt,Jumper,66,73,BLtEnymAvdY
749,How many pairs of hands are visible and not covered?,0,43vRi0srRJA_0_60,1,4,2,0,4,15,43vRi0srRJA
751,What does the word on the middle line of the shirt say?,0,BLtEnymAvdY_120_180,NIGHTMARES,Horthwest,Tim bund,Welcome home,129,134,BLtEnymAvdY
758,What color is the material the woman is holding?,0,BLtEnymAvdY_180_240,blue,blue,black,pink,188,195,BLtEnymAvdY
761,What are the numbers seen ?,0,_szwBA2lGiE_60_120,6570,6550,6670,None of these.,65,70,_szwBA2lGiE
764,What is the brand name of the sewing machine?,0,T_AuhrM7oxU_60_120,Brother,Janome,Singer,Bernina,106,121,T_AuhrM7oxU
766,How many flowers can you see in the scene?,0,4d-VCMAWv5E_120_180,8,4,7,9,120,125,4d-VCMAWv5E
769,What is the color of the thread she is using to strich?,0,T_AuhrM7oxU_120_180,Rose color thread,Red color thread,Black color thread,White color thread,120,143,T_AuhrM7oxU
770,How many knief are shown in this video?,0,aLprljF9Iek_0_60,Six,One,Two,Ten,6,18,aLprljF9Iek
771,What would be the name of the white color bird?,0,4d-VCMAWv5E_180_240,Parrot,Duck,Sparrow,Dove,211,228,4d-VCMAWv5E
772,How many cookies are seen ?,0,MAovV0aPsJE_0_60,Three,Two,One,Zero,32,37,MAovV0aPsJE
774,How much roles in the plate?,0,aLprljF9Iek_60_120,5,4,6,7,63,120,aLprljF9Iek
780,What is the name of the month displayed in the screen?,0,x_vf0-0l9Xg_60_120,November,October,September,March,60,71,x_vf0-0l9Xg
784,Is that woman specs wearing?,0,aLprljF9Iek_120_180,No,Yes,Sure,Agree,120,132,aLprljF9Iek
788,What is the color of spoon?,0,b0XJ4sPt4zc_180_240,Pink,White,Yelow,Black,225,236,b0XJ4sPt4zc
