qid,question,answer_id,video_id,a0,a1,a2,a3,start,end,id
1647,What did the man put through the bottle?,0,MGKmhmo79zw_180_240,glue,water,juice,oil,186,191,MGKmhmo79zw
1650,What is the color of gel in the table?,0,NFG7f-pm9r0_0_60,Red,blue,green,white,0,1,NFG7f-pm9r0
1661,How many White Horses are there?,0,JqGQy1ikzBU_120_180,Seven,Eight,Nine,Five,122,131,JqGQy1ikzBU
1664,how many bowls are there in the table?,0,ZC0S6ua9rEA_0_60,one,two,five,six,52,60,ZC0S6ua9rEA
1669,What is the name of the recipe?,0,xcnxIrUxpXw_0_60,Fresh Cherry Cobbler.,Old Cherry Cobbler.,Strawberry Cobbler.,Rhubarb Cobbler.,0,3,xcnxIrUxpXw
1708,What is the last thing that the lady puts on the cake?,0,GOFC9x0WM1Y_180_240,Fruit,Candles,Chocolate,Sprinkles,230,239,GOFC9x0WM1Y
1710,What Colors are being shown in the video?,0,4G6MPr5z2hQ_120_180,"Purple, Orange, Blue, Pink, Black, and Green","Purple, Orange, Blue, Pink, Red, and Green","Purple, Orange, Blue, Pink,","Purple, Orange, and Green",131,143,4G6MPr5z2hQ
1720,what is the color of pencil in the table?,0,z64zN-Un5II_60_120,yellow,white,orange,green,89,97,z64zN-Un5II
1723,What does the woman use to smooth out the whipped cream?,0,7R873Gd4pXM_120_180,A spatula.,A spoon.,She uses a knife.,She uses a fork.,128,140,7R873Gd4pXM
1725,what she poured into the cup?,0,yaRZuucm-Ls_60_120,flour,Cream,Cocoa powder,jam,99,106,yaRZuucm-Ls
1782,What does the man use to cut the string?,0,pMranJqfnwM_0_60,A cutter,A pair of scissors,A kitchen knife,A can opener,11,25,pMranJqfnwM
1783,Who does she say she has a crush on?,0,Kmno5vcbyRk_0_60,She has a crush on Ash,She has a crush on Kevin,She has a crush on Maria,She has a crush on Sean,8,14,Kmno5vcbyRk
1785,What does the man pick up after placing the white picture frame over the art picture scene?,0,KqQuO6d0yT0_120_180,green picture frame,paint brushes,molding clay,red picture frame,120,140,KqQuO6d0yT0
1790,How many real animals are there?,0,QELB3Hj3ECs_0_60,1,2,3,0,10,60,QELB3Hj3ECs
1793,What is the name of the show?,0,eAkgMJ1zGuk_0_60,Baking With Ella.,Ella's Recipes.,Baking With Martha.,Ella And Baking.,34,38,eAkgMJ1zGuk
1795,What he is taken in the hand?,0,pMranJqfnwM_120_180,Coil Motor,Pen,Eraser,Pencil,144,166,pMranJqfnwM
1800,What is the ingredient name in green color cup?,0,eAkgMJ1zGuk_60_120,Salt,Sugar,Flour,Baking Soda,86,89,eAkgMJ1zGuk
1805,How many pieces is the butter chopped into?,0,f-gwhMDFOHE_120_180,6,8,4,2,159,180,f-gwhMDFOHE
1807,how many bowls are there?,0,eAkgMJ1zGuk_120_180,three,one,many,ten,137,141,eAkgMJ1zGuk
1813,What color is the mixer?,0,eAkgMJ1zGuk_180_240,White with a pink stripe,White with a blue stripe,Blue with a pink stripe,Pink with a white stripe,184,188,eAkgMJ1zGuk
1828,How many mules in the mule team on the Borax box?,0,_xdrmR5j2yA_60_120,Twenty mules.,It's a ten mule team.,One mule.,A five mule team.,72,91,_xdrmR5j2yA
1852,Which of the two blue boxes does the man pick up first?,0,KqQuO6d0yT0_180_240,box on the left,box on the right,neither box,both boxes at same time,223,226,KqQuO6d0yT0
1853,What does the lady use to put the baking powder into the mix?,0,j2jAYUFBIw8_0_60,A cup,A teaspoon,A packet,A wooden spoon,26,33,j2jAYUFBIw8
1854,What is the color of his t shirt?,0,bacWe0ZEcQ0_60_120,Grey,Black,Orange,Sky Blue,82,99,bacWe0ZEcQ0
1855,What color is the second silver one he shows?,0,7HZkGCeruM0_60_120,Black silver,Dark shadow grey,Grey silver,Dark silver,72,77,7HZkGCeruM0
1857,What do you need to complete this project?,0,bacWe0ZEcQ0_120_180,tape and a knife,tape and scissors,scissors and string,tape and string,120,154,bacWe0ZEcQ0
1858,How many ingredients are shown that will be used in the recipe?,0,PEBYKhVnTDA_0_60,Five ingredients.,Three ingredients.,Six ingredients.,Four ingredients.,23,33,PEBYKhVnTDA
1872,What object is next to the pen?,0,Edc37hoSD7Y_120_180,Tape,Ruler,Eraser,Sharpener,133,141,Edc37hoSD7Y
1884,What kind of utensil is the woman using?,0,3TO8hSIIffc_120_180,A spatula.,She is using a fork.,She's using a spoon.,A knife.,140,153,3TO8hSIIffc
1889,What color did the person forget to mention at first?,0,pECalLbLdF4_120_180,Titanium White,Stark White,Titanium Grey,Light Grey,120,129,pECalLbLdF4
1897,What is the main color of the motor,0,Uo_F5Vgqib4_120_180,Grey,Black,Brown,Yellow,171,180,Uo_F5Vgqib4
1902,How many ingredients are initially blended ?,0,ovjVbOlKB6g_60_120,Four ingredients.,"Only flour, milk, and egg were mixed together first.",Eight ingredients were mixed together in total.,Two ingredients were initially blended.,61,86,ovjVbOlKB6g
1913,How many round containers are in the package?,0,He7UjsX-Cxo_120_180,There are four.,There's two.,There are two containers.,There are three.,131,142,He7UjsX-Cxo
1914,What does he use to clean up the knife cuts in the foam?,0,fvY0Es00ObQ_60_120,Sand paper.,an exact o knife,a dremmel,a belt sander,91,110,fvY0Es00ObQ
1926,Why should you mix your soap well?,0,YeFrTtzyXZw_60_120,Unmixed lye particles could be left,For the smell,To preserve color,To make it ash,73,78,YeFrTtzyXZw
1947,What color is the floor?,0,Q5QCpl8DRvQ_0_60,Tan,Grey,Black,Brown,50,53,Q5QCpl8DRvQ
1954,how did the lady using the tube bottle?,0,c77kbDMzPxQ_180_240,backward side,front side,straight,normal,187,232,c77kbDMzPxQ
1957,What is the name that is being said?,0,_QQQAVNKIPE_120_180,Sugar,Baxter,Honey,Sweetie,120,155,_QQQAVNKIPE
1960,How many alley wrench tool,0,0gs9vGqPuBg_0_60,Two,One,Three,Four,42,58,0gs9vGqPuBg
1967,What color is the petal of the first flower picked up?,0,ZCG-l6Fv5CI_120_180,Orange,Yellow,Red,Green,143,144,ZCG-l6Fv5CI
1972,How many colored rectangles are there?,0,0hPt8tvUvn8_120_180,8,4,2,10,120,179,0hPt8tvUvn8
1977,How many bananas did the lady bring out,0,d5ZnSs6ISNY_60_120,Two,Three,Five,Four,95,117,d5ZnSs6ISNY
1992,What animal is portrayed on the lid of the yellow jar?,0,wkarGfo1CgA_0_60,A fox,A dog,A snail,A gorilla,44,48,wkarGfo1CgA
2007,How many bananas are there ?,0,qPNQI8z4zKc_60_120,Nine to eleven.,One to four.,Five to Six.,One bunch of bananas.,70,74,qPNQI8z4zKc
2012,What color is the spoon used for inserting the ingredients?,0,Q4L8Jzf9tVk_60_120,yellow,red,blue,green,60,69,Q4L8Jzf9tVk
2016,How much butter does the person put into the mix?,0,GI7pXHQ01XI_180_240,One cup.,A half cup.,Two cups of butter.,A cup and a half.,212,217,GI7pXHQ01XI
2025,What is the woman carrying when she leaves the house?,0,ozSjgbwi2FA_60_120,A watering can.,A bucket.,A bowl.,She is carrying a shovel.,60,66,ozSjgbwi2FA
2026,What does the person use to stir the sauce?,0,YPUnp7Ym9MU_120_180,A spatula.,They use a spoon.,It's a fork.,It's a whisk.,155,163,YPUnp7Ym9MU
2027,What sentence is on screen?,0,N8Wh33ALfAE_120_180,Soaps N Suds N Such,Suds N Soaps N Such,Suds N Suds N Suds,Soaps N Soaps N More Soaps,120,179,N8Wh33ALfAE
2036,What kind of books are on the top left shelf of the library?,0,StzG4xPCiA0_0_60,Adventure books,Sports books,Science books,Fictional books.,35,42,StzG4xPCiA0
2059,how many cups are their?,0,mZbVAG0KgLA_60_120,7,8,10,15,117,119,mZbVAG0KgLA
2070,How many buttons are on the Chef's jacket,0,vxg0GRQv5Rw_60_120,Six Buttons,Four Buttons,Two Buttons,Ten Buttons,81,112,vxg0GRQv5Rw
2080,What is the woman holding the soap against?,0,uqzFLY967vI_180_240,A tea kettle.,A pot.,A fork.,A bowl.,183,189,uqzFLY967vI
2084,What color was the building shown?,0,hCMjdAesRfI_60_120,orange,red,gray,blue,77,84,hCMjdAesRfI
2085,What kind of animal is in the woods?,0,S-O6fIzXiAY_0_60,A dog.,A fox.,A deer.,A bear.,20,22,S-O6fIzXiAY
2089,what is the man wearing on his head?,0,UUfL92r63A0_0_60,some earrings,a bandana,a hat,some glasses,0,8,UUfL92r63A0
2092,How many paint bottles were held up to the camera in total ?,0,UUfL92r63A0_60_120,There were three bottles.,No paint bottles.,Only two paint bottles in total were held up to the camera.,Four bottles. Two in the beginning and two at the end.,114,118,UUfL92r63A0
2108,What is the color of the table?,0,DutTXvJNx-4_120_180,Yellow,Red,Green,Blue,130,138,DutTXvJNx-4
2117,What color is the spatula that the person is using?,0,18TwafaR6mY_180_240,The color blue.,A green spatula.,A brown spatula.,The color red.,207,237,18TwafaR6mY
2125,What color is the belt ?,0,eTRaxsY4GBU_0_60,White.,There are no belts.,Yellow.,Blue.,16,26,eTRaxsY4GBU
2136,What kind of insect is featured on the video clip above?,0,G8HKYTEiMh4_0_60,Mosquito,Dragonfly,Grasshopper,Bug,49,59,G8HKYTEiMh4
2153,What color and type of flower that's on the vase?,0,SWn7ElfyWdQ_0_60,white roses,yellow sunflowers,pink roses,red roses,30,35,SWn7ElfyWdQ
2174,What is the name of the show?,0,5NBA39OlHRU_0_60,Ghetto Chef.,Fancy Chef.,Urban Chef.,Suburban Chef.,2,6,5NBA39OlHRU
2186,Where is the man situated?,0,AmGVSh5eTSw_120_180,In front of a house,Inside a room,At the beach,In a library,140,160,AmGVSh5eTSw
2190,Which part of the dog is the woman holding on to?,0,1Ag8V7grYGc_120_180,it's tail,it's leg,it's ear,it's head,126,131,1Ag8V7grYGc
2210,what is the color of his t-shirt?,0,ogpK9CAcNLo_60_120,white,blue,green,yellow,63,70,ogpK9CAcNLo
2234,What color is the rubber spatula?,0,JtY2V3rnro0_120_180,red,black,silver,yellow,130,137,JtY2V3rnro0
2241,What color are the scissors in the picture behind the man?,0,E_pIOCilcaE_120_180,The scissors are green.,They are blue.,The scissors are grey.,They are brown.,120,126,E_pIOCilcaE
2252,how many onions are there in the table?,0,1AEh15rh3NE_0_60,one,two,three,four,13,24,1AEh15rh3NE
2253,What is the color of the door knob of the car showed in the video clip?,0,GFBuxouAvp8_0_60,Black,White,Blue,Red,0,45,GFBuxouAvp8
2256,what is the lady talking about,0,G0sndrWjv74_0_60,talking about people,politicts,bad appearance,not caring the garden,11,47,G0sndrWjv74
2258,How many folders available in the directory?,0,a2scSiFeMGw_60_120,one,five,eight,ten,80,87,a2scSiFeMGw
2263,How many eggs are seen cracked ?,0,jkt75e7mdvQ_120_180,Two.,Four.,Three.,One.,121,128,jkt75e7mdvQ
2280,What kind of puzzles for kids are featured in the video?,0,tl11sBMy20U_120_180,Simple puzzles for kids.,Complicated puzzles.,Hard puzzles.,Easy puzzles.,136,146,tl11sBMy20U
2285,What is the color of the car's rubber ring?,0,h0sRnOU6fAE_120_180,black,green,blue,white,172,181,h0sRnOU6fAE
2306,How many steps does the stepladder have?,0,v6DqwFz1Ltw_120_180,2 steps,3 steps,4 steps,1 step,172,175,v6DqwFz1Ltw
2314,what is the main part of thevideo?,0,0WA58hZ21b4_0_60,ROLLER BLIND,door,window,desk,20,46,0WA58hZ21b4
2317,how many eggs are added in the bowl?,0,LTga9F7x1xw_120_180,three eggs,only one,there are two,there are nothing,128,169,LTga9F7x1xw
2319,What color is the watch worn  by the host?,0,TzM8sCiFWRw_60_120,silver,black,red,gold,60,66,TzM8sCiFWRw
2338,what kind of video is this?,0,5EZ88EkxE0E_180_240,camera recording,ceremony,party,cooking,186,213,5EZ88EkxE0E
2339,which is used for making?,0,8BOyqErRvFc_0_60,fish,chicken,crabs,meat,27,49,8BOyqErRvFc
2342,what was the colour of pan?,0,ohQCOld_cGw_60_120,black in colour,silver colour,transparent white,fanta orange,65,77,ohQCOld_cGw
2353,what does the woman doing in this video?,0,fWxpW2iyFpM_120_180,stirred together with spoon,mixed well,mixing with spoon,mixing in a pan,139,145,fWxpW2iyFpM
2355,what was the colour of an liquid inside water bottle?,0,Lc-Q6f4h01s_0_60,yellow in colour,dark red,light green,fanta orange,42,57,Lc-Q6f4h01s
2356,What item kept blowing away in the wind,0,5ZDbSnPQnF0_0_60,Paper Towel,Spoon,Baking Soda,Grass,5,57,5ZDbSnPQnF0
2360,What is the color of the pan?,0,MSn-ekrpCVM_120_180,White,Yellow,Black,Red,149,168,MSn-ekrpCVM
2362,Which body part did the host aim his weapon at?,0,cNc2R6Pmk7U_0_60,the head,the chest,the legs,the shoulders,0,6,cNc2R6Pmk7U
2372,How much volt the machine contains?,0,xWVZERtnJMk_0_60,+12V or - 12V,between 10 to 15V,Greater than 10V,Less than 20V,19,43,xWVZERtnJMk
2374,What word did the man use to describe what happened?,0,JWuAAx97B84_180_240,whoa,Really far,Bang,wow,200,221,JWuAAx97B84
2402,What food is sitting the cutting board?,0,w1y1jYfZdNo_60_120,tomatoes,potatoes,apple,peach,117,119,w1y1jYfZdNo
2419,what is the color the person puts on the object?,0,gAjmj6-926o_180_240,it is red,it is green,it is blue,it is purple,180,186,gAjmj6-926o
2433,what colour of the t shirt wearing the lady?,0,_PePPzrsFmg_0_60,black colour,blue colour,red colour,green colour,13,40,_PePPzrsFmg
2438,How many windows are shown in the video?,0,aaiyqiGV3W0_60_120,Two,One,Three,Four,80,92,aaiyqiGV3W0
2439,what is the color of the man's shirt?,0,y1LhbTIwKD8_0_60,it is black,it is green,it is orange,it is white,0,6,y1LhbTIwKD8
2461,What color is the shirt worn by the host?,0,Uj0A7U8nJFQ_0_60,black,blue,brown,green,48,60,Uj0A7U8nJFQ
2494,what does the video show?,0,8vbgBg4zhU0_180_240,vegitable salad,salad,oil,garam masala,188,232,8vbgBg4zhU0
2514,"What protective gear covers the most of the four golden character's bodies, situated to the left of the blurp that reads, '""Collected Modern Elves Mono Green.""",0,TIQXfZiYJzE_0_60,A shield,A suit of armor,A camouflage jumpsuit,A spacesuit,16,24,TIQXfZiYJzE
2520,what does the video shows?,0,rtKED0fPvZ0_120_180,its a video game,book,game,food,127,175,rtKED0fPvZ0
2558,what does the two lady's are doing in this video?,0,S0dRWafAYQk_180_240,speaking in a separate mike,speak in mike,speak loud,two mikes,195,202,S0dRWafAYQk
2577,How many men behind the bar are wearing glasses?,0,NCFeJFzGOQ8_60_120,One man.,Three men.,Seven men.,Two men.,60,65,NCFeJFzGOQ8
2581,How do the men drink the liquid?,0,NCFeJFzGOQ8_120_180,Straight from the bottle.,From a glass.,They don't drink any.,They pour it into a glass.,139,147,NCFeJFzGOQ8
2585,What is the person using to stir?,0,wRzKQ4q6EGU_120_180,wooden log,spatula,spoon,fork,120,127,wRzKQ4q6EGU
2593,What color is the bucket in front of the woman that is feeding her garden?,0,BmIGxlZCT-k_60_120,It's red,It's blue,It's white,It's black,62,65,BmIGxlZCT-k
2600,What items are used in the video to divide the sections of the garden?,0,jZIf9O4T4vc_60_120,Cinder blocks,Rocks,Buildings,Brick walls,60,70,jZIf9O4T4vc
2642,what are shown in the video?,0,_R5gBG_bVrQ_0_60,candles,cooking items,planting tools,grocry items,6,50,_R5gBG_bVrQ
2676,what color are the seats the people are on?,0,O0mStrxzAI8_0_60,they are white,they are gray,they are red,they are blue,0,7,O0mStrxzAI8
2686,What is the Color of her Dress?,0,8Ug1MnU6LKw_0_60,Pink,Red,Blue,Yellow,12,28,8Ug1MnU6LKw
2690,Where was the car inside of in the video?,0,ZT_uuEGJku8_60_120,A cardboard box,Inside of house,Inside of another car,Inside of grocery shop,96,100,ZT_uuEGJku8
2726,What pattern is on the woman with the bright blue shirt?,0,si0dWQxGjK0_60_120,Polka dots,Stripes,Waves,,60,90,si0dWQxGjK0
2733,What boxed product is featured in the video?,0,vxhZ7uE7glY_60_120,Corked Roadbed.,Train tracks.,Road bed.,Red pencils.,67,72,vxhZ7uE7glY
2734,What colors are the round disks the man puts in the buckets?,0,X-hZM-nqfBA_60_120,Red and green.,Blue and red.,Red and orange.,They are both red.,67,75,X-hZM-nqfBA
2735,What does the narrator move around in her fingers?,0,GteM_vY3RNc_120_180,It appears to be a bead,A small cherry,A piece of red chocolate,Something she found on the ground,134,142,GteM_vY3RNc
2745,What does the woman do to the blue dot?,0,ZuLZZmlxFAI_0_60,cut it with a knife,smush it,throw it away,add it to the clay,31,36,ZuLZZmlxFAI
2759,How many total bananas does the person hold up with both hands?,0,12R_3aUxl7s_0_60,9 bananas,10 bananas,20 bananas,30 bananas,15,24,12R_3aUxl7s
2760,Where is the pan and cookie sheet sittin?,0,_e4DpIfe3m4_60_120,On a stove.,On a kitchen counter.,Inside a refrigerator,On the dining room table.,67,76,_e4DpIfe3m4
2765,how many soap bars are being shown?,0,Hg2mZGwHOqU_0_60,three,one,many,ten,4,9,Hg2mZGwHOqU
2772,what was the fruit in her hand?,0,mL8vA56iLpI_0_60,plumps,jackfruit,apple,orange,49,60,mL8vA56iLpI
2774,What color is the brush handle ?,0,N2GNhYyDoeQ_120_180,Transparent.,Red.,Black.,Brown.,129,141,N2GNhYyDoeQ
2783,What color is the knife the woman is using?,0,wFEY1QKiWeQ_180_240,The color orange.,A blue knife.,A grey knife.,The color green.,183,200,wFEY1QKiWeQ
2785,How long do you let the lettuce sit in the colander?,0,SeDTyALBgik_60_120,For quite up to 2 hrs,5 minutes,10 minutes,2 minutes,60,76,SeDTyALBgik
2786,What is the color of his T Shirt?,0,KCB_gpUnfmg_0_60,Pink,Red,Yellow,Orange,9,20,KCB_gpUnfmg
2807,how many bottle that  person was take in his hand ?,0,NwXBvc-FmhU_0_60,Two bottle that  person was take in his hand,Three bottle that  person was take in his hand,4 bottle that  person was take in his hand,1 bottle that  person was take in his hand,13,25,NwXBvc-FmhU
2814,what was the shape of the part?,0,dfuGPfounNE_60_120,cylinder,cube,cubiod,square,77,120,dfuGPfounNE
2835,What color is the mixture the woman is mixing?,0,Q4L8Jzf9tVk_120_180,The color is a light blue.,The color is a dark black.,The color is a light orange.,It has no color.,120,125,Q4L8Jzf9tVk
2845,"Of the first three freestanding cardboard shapes made, which one has the green lines on its surface?",0,neRIqRtfV5E_60_120,The shape in the middle.,The biggest one.,There are red lines on the smallest shape.,The lines are gold in color.,66,76,neRIqRtfV5E
